Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
nl Ajax,20,26,60.8,6,66,540,6.0,19,15,18,1,1,9,0,3.17,2.5,5.67,3.0,5.5,16.3,15.5,11.5,27.0,2.71,1.91,4.63,2.59,4.5,104,39,37.5,17.33,6.5,0.17,0.46,15.1,2,0.15,2.7,2.5,3250,3772,86.2,60802,19589,1324,1475,89.8,1466,1608,91.2,392,539,72.7,3.5,82,257,105,19,322,3496,276,8,526,74,103,26,3,3,1,2903,413,456,1688,1759,100,131,32,13,35,103,73,173,28.83,143,11,5,6,3,30,5.0,24,0,2,2,1,1,109,62,40,52,17,45,44.6,56,263,31.4,200,402,235,0,70,187,72,1,4436,347,252,101,50.5,57,3,3204,46,64,71,3612,3250,90.0,322,90,100,83,44,22,21,44,3.0,20,5,15,2.5,16.3,6.4,9.9,1.65,0,85,1,2,0,471,80,65,55.2,Champions-League,8,2021-2022
it Atalanta,21,28,52.0,6,66,540,6.0,12,11,12,0,0,9,0,2.0,1.83,3.83,2.0,3.83,8.8,8.8,7.0,15.8,1.46,1.17,2.63,1.46,2.63,83,31,37.3,13.83,5.17,0.14,0.39,17.1,3,0.11,3.2,3.2,2560,3153,81.2,49853,16536,1041,1195,87.1,1096,1272,86.2,374,569,65.7,4.0,65,198,65,8,244,2853,300,6,356,94,66,27,10,15,2,2152,399,602,988,1786,134,135,35,9,59,117,71,128,21.33,99,8,8,5,1,20,3.33,15,1,2,1,1,0,106,60,55,28,23,45,43.7,58,279,33.7,275,327,227,0,73,208,93,3,3927,320,170,109,43.1,54,8,2440,29,107,90,2929,2560,87.4,244,90,100,80,40,26,25,40,1.0,12,13,-1,-0.17,8.8,9.1,-0.4,-0.06,0,68,0,0,0,515,103,76,57.5,Champions-League,8,2021-2022
es Atlético Madrid,21,28,42.3,6,66,540,6.0,7,6,6,1,1,11,3,1.17,1.0,2.17,1.0,2.0,7.5,6.8,4.0,10.8,1.25,0.66,1.92,1.13,1.79,59,18,30.5,9.83,3.0,0.1,0.33,17.6,3,0.12,-0.5,-0.8,1880,2432,77.3,36746,13171,823,935,88.0,725,875,82.9,292,523,55.8,2.0,39,153,33,4,172,2141,291,6,283,87,57,20,5,7,3,1518,349,565,627,1443,131,117,41,12,49,87,49,94,15.67,69,4,6,4,4,8,1.33,5,0,1,2,0,0,109,73,73,29,7,48,42.1,66,243,29.2,347,355,131,0,57,183,117,5,3103,362,133,69,52.2,40,6,1862,28,67,86,2272,1880,82.7,172,90,100,76,36,28,28,27,1.17,7,8,-1,-0.17,7.5,7.9,-0.4,-0.06,0,76,0,2,0,475,90,82,52.3,Champions-League,8,2021-2022
es Barcelona,23,26,58.2,6,66,540,6.0,2,1,2,0,0,13,1,0.33,0.17,0.5,0.33,0.5,6.1,6.1,5.5,11.6,1.02,0.92,1.94,1.02,1.94,60,11,18.3,10.0,1.83,0.03,0.18,16.4,0,0.1,-4.1,-4.1,3191,3746,85.2,59806,17667,1315,1458,90.2,1390,1533,90.7,414,586,70.6,-4.5,55,237,62,16,238,3456,290,9,440,101,92,36,9,11,0,2857,405,484,977,2442,101,119,42,15,38,93,78,103,17.17,78,13,2,6,1,2,0.33,2,0,0,0,0,0,102,62,42,44,16,47,40.5,69,266,28.0,264,451,234,0,69,159,60,0,4335,374,156,129,62.8,88,1,2979,26,65,79,3595,3191,88.8,238,90,100,81,40,25,24,44,1.17,2,9,-7,-1.17,6.1,8.3,-2.2,-0.36,1,83,0,1,0,470,90,60,60.0,Champions-League,8,2021-2022
de Bayern Munich,23,27,59.8,6,66,540,6.0,21,17,20,1,2,9,0,3.5,2.83,6.33,3.33,6.17,13.9,12.5,10.5,23.0,2.31,1.75,4.07,2.08,3.84,103,42,40.8,17.17,7.0,0.19,0.48,17.0,6,0.13,7.1,7.5,3377,3847,87.8,64134,19814,1446,1582,91.4,1457,1607,90.7,436,570,76.5,6.5,82,274,93,20,286,3631,216,8,414,101,87,29,11,10,3,3021,389,437,1084,2529,67,85,44,18,36,99,54,184,30.67,143,10,12,7,4,38,6.33,28,0,4,5,1,0,107,65,48,38,21,27,30.0,63,264,28.1,288,426,226,0,61,187,72,1,4463,385,226,103,67.0,70,5,3053,40,65,55,3726,3377,90.6,286,90,100,83,37,29,17,28,3.0,22,3,19,3.17,13.9,3.4,10.5,1.75,0,76,0,0,0,443,65,56,53.7,Champions-League,8,2021-2022
pt Benfica,23,28,41.5,6,66,540,6.0,7,4,6,1,1,15,0,1.17,0.67,1.83,1.0,1.67,7.3,6.5,4.7,11.3,1.21,0.79,2.0,1.09,1.88,56,23,41.1,9.33,3.83,0.11,0.26,16.2,2,0.12,-0.3,-0.5,2030,2521,80.5,40641,13885,779,906,86.0,875,994,88.0,322,501,64.3,-0.7,42,144,29,8,151,2225,296,7,437,69,45,19,4,7,0,1768,300,453,603,1633,77,108,37,9,43,68,69,90,15.0,57,9,6,3,7,10,1.67,7,0,1,2,0,0,91,51,48,37,6,38,35.8,68,189,24.3,263,355,160,1,53,186,105,0,3209,415,110,122,53.3,77,10,2029,25,70,83,2288,2030,88.7,151,90,100,81,36,30,20,42,1.33,7,9,-2,-0.33,7.3,11.1,-3.9,-0.64,0,68,0,1,1,416,83,88,48.5,Champions-League,8,2021-2022
tr Beşiktaş,26,28,44.3,6,66,540,6.0,3,2,2,1,1,16,2,0.5,0.33,0.83,0.33,0.67,5.4,4.7,4.2,8.9,0.9,0.7,1.6,0.78,1.48,49,11,22.4,8.17,1.83,0.04,0.18,15.9,1,0.1,-2.4,-2.7,2128,2707,78.6,39969,14543,983,1125,87.4,796,957,83.2,304,504,60.3,-2.2,36,127,34,15,142,2445,262,8,410,70,58,20,14,4,1,1839,336,532,877,1576,82,83,44,18,48,83,76,72,12.0,49,11,4,3,0,3,0.5,0,2,0,0,1,0,123,78,70,39,14,44,36.1,78,326,33.2,432,411,138,0,69,218,98,3,3433,440,96,105,54.3,66,6,2195,21,83,89,2558,2128,83.2,142,90,100,82,43,22,22,31,0.0,3,19,-16,-2.67,5.4,18.3,-12.9,-2.15,1,63,0,2,0,521,57,81,41.3,Champions-League,8,2021-2022
eng Chelsea,24,27,65.5,6,66,540,6.0,13,9,11,2,2,7,0,2.17,1.5,3.67,1.83,3.33,12.9,11.4,10.1,21.5,2.16,1.68,3.83,1.9,3.58,100,35,35.0,16.67,5.83,0.11,0.31,16.1,3,0.11,0.1,-0.4,3680,4205,87.5,65639,18741,1616,1738,93.0,1607,1761,91.3,384,568,67.6,-1.1,83,322,97,13,312,3932,273,5,586,64,80,51,20,24,0,3325,414,466,1043,2840,96,125,33,6,56,93,69,156,26.0,117,18,5,7,4,18,3.0,14,1,1,0,2,0,98,53,30,39,29,30,50.0,30,255,31.6,156,346,304,1,74,183,67,0,4859,251,232,93,65.6,62,7,3457,30,70,90,4007,3680,91.8,312,90,100,80,41,25,25,40,2.17,13,4,9,1.5,12.9,4.7,8.3,1.38,0,70,2,0,0,473,101,76,57.1,Champions-League,8,2021-2022
be Club Brugge,21,26,38.5,6,66,540,6.0,5,5,5,0,0,11,0,0.83,0.83,1.67,0.83,1.67,6.5,6.5,5.0,11.5,1.08,0.83,1.91,1.08,1.91,61,26,42.6,10.17,4.33,0.08,0.19,16.0,3,0.11,-1.5,-1.5,1843,2472,74.6,34799,14384,846,997,84.9,646,831,77.7,283,492,57.5,0.0,44,128,46,9,186,2175,297,9,328,61,54,37,19,6,0,1505,415,552,799,1332,114,118,30,18,53,101,82,91,15.17,69,4,4,4,5,9,1.5,7,0,1,1,0,0,119,76,59,44,16,42,40.8,61,285,27.9,336,478,209,0,88,223,72,1,3184,442,138,98,59.2,64,7,1709,24,91,82,2296,1843,80.3,186,90,100,83,43,23,20,34,0.67,6,20,-14,-2.33,6.5,16.9,-10.4,-1.73,0,62,0,3,0,513,82,56,59.4,Champions-League,8,2021-2022
de Dortmund,23,26,51.8,6,66,540,6.0,10,8,8,2,2,8,2,1.67,1.33,3.0,1.33,2.67,10.7,9.1,7.5,16.6,1.78,1.25,3.02,1.52,2.77,83,26,31.3,13.83,4.33,0.1,0.31,17.3,4,0.11,-0.7,-1.1,2827,3388,83.4,53095,17404,1175,1331,88.3,1207,1365,88.4,381,549,69.4,0.5,63,211,51,12,230,3125,263,10,343,67,76,34,14,14,2,2541,343,504,854,2215,99,118,31,17,40,109,88,139,23.17,98,10,16,7,3,18,3.0,11,1,3,1,2,0,126,78,53,53,20,38,36.5,66,333,31.8,307,488,253,0,93,225,70,2,4085,370,183,124,63.7,82,8,2697,35,76,69,3220,2827,87.8,230,90,100,78,38,27,27,28,1.5,10,11,-1,-0.17,10.7,7.3,3.3,0.55,0,64,2,1,1,495,89,60,59.7,Champions-League,8,2021-2022
